data_project_995994_2025_05_05
lfdn;external_lfdn;tester;dispcode;lastpage;quality;duration;v_23;v_3;v_1;v_2;v_16;v_357;v_377;v_378;v_457;v_17;v_18;v_25;v_359;v_452;v_380;v_421;v_368;v_374;v_28;v_29;v_572;v_34;v_35;v_36;v_37;v_38;v_39;v_40;v_41;v_42;v_43;v_44;v_47;v_667;v_668;v_669;v_461;v_454;v_45;v_46;v_455;v_482;v_484;v_487;v_76;v_73;v_79;v_68;v_70;v_71;v_74;v_78;v_77;v_75;v_69;v_72;v_466;v_557;v_576;v_80;v_81;v_87;v_92;v_88;v_91;v_83;v_93;v_89;v_90;v_84;v_86;v_82;v_85;v_463;v_558;v_575;v_95;v_96;v_577;v_670;v_671;v_672;v_673;v_674;v_675;v_676;v_677;v_97;v_98;v_99;v_100;v_101;v_102;v_303;v_103;v_422;v_104;v_105;v_343;v_344;v_345;v_346;v_347;v_348;v_349;v_350;v_351;v_423;v_559;v_560;v_561;v_562;v_563;v_564;v_565;v_566;v_567;v_568;v_569;v_158;v_159;v_160;v_161;v_162;v_573;v_574;v_163;v_164;v_385;v_386;v_418;v_409;v_410;v_388;v_389;v_392;v_393;v_394;v_395;v_396;v_397;v_399;v_401;v_402;v_403;v_404;v_411;v_405;v_408;v_407;v_406;v_387;v_417;v_459;v_571;v_246;v_248;v_250;v_252;v_254;v_277;v_278;v_279;v_280;v_281;v_282;v_283;v_284;v_285;v_286;v_194;v_297
99;0;0;20;0;-77;0;-77;-66;-77;-66;-77;-77;-77;-66;-77;-77;-66;-77;-77;-77;-77;-66;-77;-66;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66
100;0;0;31;6650617;-77;1206;82;20;5;-99;1;1;3;-99;5;12;System Engineer;3;2;2;2;-99;6;-99;0;1;0;0;-99;0;1;1;1;1;1;1;0;1;0;0;0;0;0;0;1;Model Based System Engineering;1;4;4;1;1;0;1;1;1;1;0;0;1;1;0;1;0;1;0;0;-99;1;0;1;0;0;0;1;1;1;1;0;0;1;0;0;1;Very misleading question. Formally requirements are just text, so from a formal aspect only  structured list of requiremetns  is the one true answer. All the other methods are used as context to this list. ;1;1;0;0;0;0;0;0;0;1;1;1;0;1;1;1;1;1;0;-99;Textual following Sophist Group Guidelines;Textual following Sophist Group Guidelines;Textual following Sophist Group Guidelines;-66;Textual following Sophist Group Guidelines;Textual following Sophist Group Guidelines;Textual following Sophist Group Guidelines;Textual following Sophist Group Guidelines;-66;Textual following Sophist Group Guidelines;5;2;2;1;2;2;1;4;4;1;4;1;0;1;0;0;0;0;0;-99;2;2;5;2;2;4;1;2;1;4;2;4;1;4;1;4;4;1;4;4;1;4;1;1;1;2;2;10;6;3;22;17;Customer does not know what he wants;Because customer does not know what he wants, he cannot wirte a complete list of requirements and tends to amend in the future.;Customer procures for the end user and there is no way of talking talking to the end user;Maintainance of a dictionary is very cumbersome;Because customer does not know what he wants he leaves requirements unclear.;Wasted money for re-planning additional cost and schedlue impact.;Customer will be unhappy with final restult.;End users will be unhappy.;Some additional iterations;System will either be overengineered or under engineered.;Customers love to reject good solutions, because they are not their favored solution, often resulting in less good solutions beeing implemented. ;-99
101;0;0;20;0;-77;0;-77;-66;-77;-66;-77;-77;-77;-66;-77;-77;-66;-77;-77;-77;-77;-66;-77;-66;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66
102;0;0;31;6650617;-77;235;201;5;2;-99;2;2;1;-99;1;3;-99;2;2;2;2;-99;3;-99;0;0;1;0;-99;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-99;3;2;2;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;-99;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;3;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;-99;-66;-66;word;-66;-66;-66;-66;-66;-66;-66;2;2;2;3;3;3;3;3;3;3;3;0;0;0;1;0;0;0;0;-99;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;18;3;11;1;5;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99
103;0;0;22;6650599;-77;0;233;-99;0;-99;0;0;0;-99;0;0;-99;-77;-77;-77;-77;-66;-77;-66;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66
104;0;0;31;6650617;-77;657;82;8;6;-99;1;1;3;-99;3;4;-99;2;3;3;2;-99;3;-99;1;0;0;0;-99;1;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;-99;2;3;4;2;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;-99;0;1;0;1;1;1;0;0;0;0;0;0;0;1;0;0;-99;1;1;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;-99;-66;-66;Text;-66;-99;-99;-99;-99;-66;-99;3;2;4;2;4;4;4;2;3;2;3;0;0;1;0;0;0;0;0;-99;4;4;4;3;4;4;4;3;3;2;4;3;3;3;3;3;3;3;2;4;3;3;3;3;4;3;3;20;6;5;7;8;The project was not important enough for them;Not all stakehders were involved ;The communication stopped ;Project leader got other important projects ;Not all stakehders were involved ;-99;-99;-99;-99;-99;-99;-99
105;0;0;20;0;-77;0;-77;-66;-77;-66;-77;-77;-77;-66;-77;-77;-66;-77;-77;-77;-77;-66;-77;-66;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66
106;0;0;22;6650616;-77;-1;201;20;13;-99;2;2;2;-99;2;11;-99;3;3;3;2;-99;2;-99;0;0;0;1;-;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;-99;2;3;3;3;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;-99;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;-99;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;-99;-66;-66;-66;-66;-66;-66;diagrAM;-66;-66;-66;3;3;3;3;3;3;3;3;3;3;3;1;0;0;0;0;0;0;0;-99;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1;2;5;4;15;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99
107;0;0;20;0;-77;0;-77;-66;-77;-66;-77;-77;-77;-66;-77;-77;-66;-77;-77;-77;-77;-66;-77;-66;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66
108;0;0;31;6650617;-77;2014;82;25;6;-99;1;1;1;-99;1;5;-99;1;2;4;1;-99;5;-99;1;0;0;0;-99;1;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;-99;2;4;2;1;1;0;0;1;1;1;0;1;1;0;1;1;1;1;0;0;-99;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;User Journeys, User Flows;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;-99;-66;-66;latency must be under value XY;-66;-66;-66;-66;as Acceptance criteria, eg. loading spinner if it takes longer than accepted, animation to make sure user gets the difference etc.;-66;In Germany saving those data is only allowed XY days;5;1;1;1;2;2;1;2;4;2;1;0;1;1;0;0;0;0;0;-99;2;4;4;2;4;5;1;5;3;4;4;4;2;2;2;1;4;4;4;5;1;4;1;1;1;1;4;3;10;6;19;12;working as a service provider we are seperated from the end user via the customer --> customers responsibility to offer connection to end user is not provided ;abrupt change of different targets, features do not go to the end but only as far as it is possible to meet your own targets (e.g. to receive a bonus payment);"distributed knowledge about domain and feasability; accidental encounter with new requirements";silo thinking between project teams, no common shared goals with other stakeholder teams;fear o produce high costs for the service provider , single point of contact -> bottleneck;"developing features that doesnt fit the customers needs; missing important preconditions; ";"no focus for the porject team; less commitment, higher feeling of only being a work bench;  hard to measure outcome, only output; ";"developing features that doesnt fit the customers needs; longer developing process, ineffiecent";"inhibition to engage in communication; slower and more ineffiecient, longer discussions, more complaining withou resonsible acting";"developing features that doesnt fit the customers needs; more waiting time for important reposnes etc.";general ‘grumbling’ attitude instead of real feeling of responsibilty ;specific situation as a service provider, doing RE in the domain of the customer, overcome companies boarders,    Prioritzing Requirements, hard to find fiting criteria     measuring Outcome, and success: after developing a feature, does it fulfill the need / solve the problem of the user? How to proof the requirement, if we understand a requirement as a  bet 
